date,mean,min,max
2026-04-07,33.949067213635075,25.96602038000003,45.15136663999999
2026-04-23,37.82942668788119,29.616465740000024,50.14851188
2026-05-09,36.34337009227861,29.04907442000001,51.727637120000054
2026-05-25,35.249517257126904,26.728238840000017,44.77880246000001
2026-04-07,33.38198343447269,27.897201680000023,44.94970346000002
2026-04-23,37.34622537333731,29.613047720000054,47.91996284000004
2026-05-09,35.607954175805084,29.045656399999984,50.48347783999998
2026-04-15,37.62792451890761,28.95336986000001,49.943430680000006
2026-04-15,36.88590408207788,28.95678787999998,48.82232012000003
2026-05-17,22.529092224189377,6.127832300000023,35.39291953999998
